,Object ID,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Population,Total Population - Margin of Error,Population Less Than 18 Years,Population Less Than 18 Years - Margin of Error,Percent of Population that is Less Than 18 Years,Percent of Population that is Less Than 18 Years - Margin of Error,Population 65 Years and Over,Population 65 Years and Over - Margin of Error,Percent of Population that is 65 Years and Over,Percent of Population that is 65 Years and Over - Margin of Error,Population in Dependent Age Groups (under 18 and 65+),Population in Dependent Age Groups (under 18 and 65+) - Margin of Error,Percent of Population in Dependent Age Groups (under 18 and 65+),Percent of Population in Dependent Age Groups (under 18 and 65+) - Margin of Error,Median Age of Total Population,Median Age of Total Population - Margin of Error,"White Alone, Not Hispanic or Latino Population","White Alone, Not Hispanic or Latino Population - Margin of Error","Black or African American Alone, Not Hispanic or Latino Population","Black or African American Alone, Not Hispanic or Latino Population - Margin of Error","American Indian and Alaska Native Alone, Not Hispanic or Latino Population","American Indian and Alaska Native Alone, Not Hispanic or Latino Population - Margin of Error","Asian Alone, Not Hispanic or Latino Population","Asian Alone, Not Hispanic or Latino Population - Margin of Error","Native Hawaiian and Other Pacific Islander Alone, Not Hispanic or Latino Population","Native Hawaiian and Other Pacific Islander Alone, Not Hispanic or Latino Population - Margin of Error","Some Other Race Alone, Not Hispanic or Latino Population","Some Other Race Alone, Not Hispanic or Latino Population - Margin of Error","Two or More Races, Not Hispanic or Latino Population","Two or More Races, Not Hispanic or Latino Population - Margin of Error",Hispanic or Latino Population,Hispanic or Latino Population - Margin of Error,"Percent of Population that is White Alone, Not Hispanic or Latino","Percent of Population that is White Alone, Not Hispanic or Latino - Margin of Error","Percent of Population that is Black or African American Alone, Not Hispanic or Latino","Percent of Population that is Black or African American Alone, Not Hispanic or Latino - Margin of Error","Percent of Population that is American Indian and Alaska Native Alone, Not Hispanic or Latino","Percent of Population that is American Indian and Alaska Native Alone, Not Hispanic or Latino - Margin of Error","Percent of Population that is Asian Alone, Not Hispanic or Latino","Percent of Population that is Asian Alone, Not Hispanic or Latino - Margin of Error","Percent of Population that is Native Hawaiian and Other Pacific Islander Alone, Not Hispanic or Latino","Percent of Population that is Native Hawaiian and Other Pacific Islander Alone, Not Hispanic or Latino - Margin of Error","Percent of Population that is Some Other Race Alone, Not Hispanic or Latino","Percent of Population that is Some Other Race Alone, Not Hispanic or Latino - Margin of Error","Percent of Population that is 2 or More Races, Not Hispanic or Latino","Percent of Population that is 2 or More Races, Not Hispanic or Latino - Margin of Error",Percent of Population that is Hispanic or Latino,Percent of Population that is Hispanic or Latino - Margin of Error,Foreign-Born Population,Foreign-Born Population - Margin of Error,Percent of Population that is Foreign Born,Percent of Population that is Foreign Born - Margin of Error,Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range),Median Household Income in past 12 months (inflation-adjusted dollars to last year of 5-year range) - Margin of Error,Total Housing Units,Total Housing Units - Margin of Error,Occupied Housing Units,Occupied Housing Units - Margin of Error,Vacant Housing Units,Vacant Housing Units - Margin of Error,Total Occupied Housing Units,Total Occupied Housing Units - Margin of Error,Owner-Occupied Housing Units,Owner-Occupied Housing Units - Margin of Error,Renter-Occupied Housing Units,Renter-Occupied Housing Units - Margin of Error,Homeownership Rate: Percent of Occupied Housing Units that are Owner-Occupied,Homeownership Rate: Percent of Occupied Housing Units that are Owner-Occupied - Margin of Error,Median Contract Rent (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent),Median Contract Rent (Contract Rent for Renter-Occupied Housing Units Paying Cash Rent) - Margin of Error,Median Home Value (for Owner-Occupied Housing Units),Median Home Value (for Owner-Occupied Housing Units) - Margin of Error,Shape Area,Shape Length,Predominant Race,Predominant Race Color,Percent People of Color,Population per Gross Land Acre,Gross Land Acres,Housing Units per Gross Land Acre,Percent Occupied Housing Units,Percent of Occupied Housing who are Renters,Households per Gross Land Acre,x,y,zip,tract
25,71091,53033003000,1493249,0,Census Tract 30,Washington,King County,6343,609,1370,256,21.6,3.46245169794852,556,179,8.8,2.69359452922551,1926,312,30.4,3.96177537892417,38.9,2.6,5034,509,85,121,0,18,497,228,0,18,0,18,290,138,437,298,79.4,2.51662941507194,1.3,1.90327091479261,0.0,0.283777392401072,7.8,3.51490977527476,0.0,0.283777392401072,0.0,0.283777392401072,4.6,2.13088355637877,6.9,4.65129349787403,934,380,14.7,5.82165334785739,127688.0,27974.0,2708,227,2641,249,67,83,2641,249,1798,219,843,194,68.1,5.24993103423758,1841,145,822700.0,34024.0,3292841.3203125,7270.2529608109,White (Non-Hispanic),719ed9,20.63692259183352,17.19017410176248,368.9898637704701,7.338954984640201,97.5258493353028,31.91972737599394,7.157378181105897,,,98117,53033003000
26,71092,53033003100,2236733,472744,Census Tract 31,Washington,King County,6866,813,1641,341,23.9,4.08130497778879,1017,250,14.8,3.19087403633724,2658,423,38.7,4.11618181922604,41.2,2.6,5644,763,23,38,67,108,309,116,0,18,0,18,607,372,216,147,82.2,5.36202678002104,0.3,0.552028576370029,1.0,1.56871860480202,4.5,1.60324071697964,0.0,0.262161374890766,0.0,0.262161374890766,8.8,5.31591127731561,3.1,2.10832919241691,739,402,10.8,5.71454587390113,165651.0,12630.0,2736,238,2697,247,39,58,2697,247,2063,252,634,147,76.5,6.18296693664218,1722,418,843600.0,41170.0,4932479.0234375,11447.1270790442,White (Non-Hispanic),719ed9,17.797844450917566,12.42245551713051,552.7087612052076,4.950165787193282,98.57456140350878,23.507601038190582,4.879604213472325,,,98117,53033003100
27,71095,53033003400,787161,0,Census Tract 34,Washington,King County,3652,421,784,186,21.5,4.45141860088673,498,113,13.6,2.66512448374782,1282,218,35.1,4.38823095752637,39.4,2.2,2965,378,20,22,17,29,266,115,0,13,19,29,219,165,146,76,81.2,4.41989195979089,0.5,0.59909240083274,0.5,0.792270174423972,7.3,3.03494991357662,0.0,0.355969331872946,0.5,0.791817282623992,6.0,4.46487241320127,4.0,2.02937897274838,466,296,12.8,7.97054845420624,139360.0,18730.0,1577,124,1524,136,53,51,1524,136,1090,144,434,117,71.5,6.96728068847908,1455,258,874400.0,47846.0,1735086.8125,5717.33276950394,White (Non-Hispanic),719ed9,18.81161007667032,18.775218353811383,194.511719181079,8.107480652782188,96.63918833227648,28.47769028871391,7.835003497045057,,,98107,53033003400
28,71096,53033003500,1284745,0,Census Tract 35,Washington,King County,4253,332,723,129,17.0,2.72744741172859,779,180,18.3,3.98346606550169,1502,221,35.3,4.40471342364584,39.5,2.0,3631,326,33,35,8,12,176,81,13,20,0,13,264,103,128,86,85.4,3.7865762860995,0.8,0.820716429662693,0.2,0.281771430840837,4.1,1.87694120287928,0.3,0.469650535332847,0.0,0.305666588290618,6.2,2.37284833288878,3.0,2.0084072786781,351,122,8.3,2.79528132999591,113520.0,27118.0,1986,195,1853,166,133,111,1853,166,1007,127,846,165,54.3,4.82416094919798,1730,98,928600.0,44252.0,2831698.6171875,7530.53931996698,White (Non-Hispanic),719ed9,14.624970608981895,13.396650980908175,317.4674033130393,6.255760368700598,93.3031218529708,45.65569347004857,5.836819719638573,,,98103,53033003500
29,71098,53033003800,624606,0,Census Tract 38,Washington,King County,2481,315,520,110,21.0,3.54629873964579,230,64,9.3,2.29542574817804,750,127,30.2,3.38703812894321,30.8,1.8,1614,183,55,52,3,5,362,183,0,13,54,79,204,164,189,151,65.1,11.0737395769293,2.2,2.07694433980329,0.1,0.200946021980924,14.6,7.13963299865421,0.0,0.523982265215639,2.2,3.17218581708587,8.2,6.52727926894574,7.6,6.00891169304342,289,115,11.6,4.39295221352232,130650.0,31250.0,957,105,941,111,16,27,941,111,554,97,387,94,58.9,7.61772752639339,2058,238,910700.0,46067.0,1377049.71875,4703.65391970596,White (Non-Hispanic),719ed9,34.945586457073766,16.074534640996422,154.3435038966832,6.20045532101313,98.32810867293624,41.12646121147715,6.096790446262649,,,98115,53033003800
30,71099,53033003900,973808,0,Census Tract 39,Washington,King County,3137,460,843,211,26.9,5.45100748733735,391,86,12.5,2.04332466256398,1234,228,39.3,4.42181528652658,39.6,3.5,2192,251,0,13,0,13,654,396,0,13,14,20,249,99,28,31,69.9,13.0003141397842,0.0,0.414408670704495,0.0,0.414408670704495,20.8,12.2477619686793,0.0,0.414408670704495,0.4,0.63418423068247,7.9,2.93340186168914,0.9,0.979499390519737,540,239,17.2,7.18844282867599,161429.0,34086.0,1167,136,1142,142,25,29,1142,142,856,147,286,71,75.0,8.87830815047736,2128,566,1019100.0,92094.0,2146923.6015625,5972.72911684372,White (Non-Hispanic),719ed9,30.12432260121135,13.036439007554426,240.63319731578187,4.849704916103288,97.85775492716368,25.04378283712785,4.745812351490964,,,98115,53033003900
31,71100,53033004000,2574586,3232248,Census Tract 40,Washington,King County,3259,398,801,225,24.6,6.21733737788041,479,111,14.7,2.89459937884359,1280,251,39.3,6.02582268362552,41.7,5.5,2599,402,149,120,0,13,251,159,52,76,0,13,165,82,43,52,79.7,7.56988417696844,4.6,3.63953235082906,0.0,0.398895366676895,7.7,4.78727504907075,1.6,2.323848452174,0.0,0.398895366676895,5.1,2.43895725091801,1.3,1.58742450996189,445,213,13.7,6.31944029305676,125707.0,44226.0,1442,134,1389,143,53,56,1389,143,1008,145,381,86,72.6,7.29087735761263,1375,320,926500.0,197071.0,5676468.78125,12388.0081771647,White (Non-Hispanic),719ed9,20.251610923596196,5.1226508186564175,636.1940556500354,2.2666040136552787,96.3245492371706,27.429805615550755,2.183296099145064,,,98115,53033004000
32,71103,53033004301,979236,0,Census Tract 43.01,Washington,King County,3681,461,786,200,21.4,4.729644564536,381,92,10.4,2.13688980725852,1167,220,31.7,4.46717851601555,29.6,4.4,2344,292,109,87,160,180,642,236,11,21,0,13,140,79,275,148,63.7,11.2483814386288,3.0,2.33421255388913,4.3,4.85958114293736,17.4,6.02775187153154,0.3,0.569268270345416,0.0,0.353164900842162,3.8,2.0926313857688,7.5,3.91026904133808,626,216,17.0,5.46780864128239,110893.0,36291.0,1522,145,1340,101,182,117,1340,101,704,76,636,102,52.5,4.06038137296666,1336,162,924300.0,37150.0,2158066.953125,7782.41554750586,White (Non-Hispanic),719ed9,36.32165172507471,15.212347678040963,241.9744853263857,6.289919360493982,88.04204993429697,47.46268656716418,5.537773944193124,,,98105,53033004301
33,71104,53033004302,331137,0,Census Tract 43.02,Washington,King County,4445,794,160,90,3.6,1.91994211533868,264,84,5.9,1.56386217560907,424,123,9.5,2.18034026590873,21.8,0.4,2449,631,126,80,31,38,826,213,3,5,25,39,649,234,336,132,55.1,10.2304209007031,2.8,1.72707953569312,0.7,0.84576757569026,18.6,3.45601351041849,0.1,0.111838020144827,0.6,0.871619450458753,14.6,4.57287558923237,7.6,2.64490128411367,872,202,19.6,2.89347292341054,39507.0,8605.0,1807,190,1479,180,328,146,1479,180,75,58,1404,175,5.1,3.87270120818677,1339,102,908300.0,367080.0,729637.953125,3615.54399423468,White (Non-Hispanic),719ed9,44.90438695163105,54.322763078628064,81.82573470289427,22.08351695907332,81.84836745987825,94.9290060851927,18.074998108726863,,,98105,53033004302
34,71106,53033004500,670997,0,Census Tract 45,Washington,King County,3474,662,522,138,15.0,2.75338518977746,239,70,6.9,1.53017230561989,761,155,21.9,1.5754926107707,29.1,3.4,2516,557,43,42,0,13,502,331,0,13,19,19,180,85,214,108,72.4,8.16108996075212,1.2,1.1857495160192,0.0,0.374208405296488,14.5,9.12134509003517,0.0,0.374208405296488,0.5,0.536898135706819,5.2,2.23868562872782,6.2,2.87867471992202,437,176,12.6,4.46324142194907,124327.0,33074.0,1060,111,1005,122,55,54,1005,122,589,103,416,101,58.6,7.37707366546419,1925,342,837300.0,47208.0,1478712.453125,4985.35577464487,White (Non-Hispanic),719ed9,27.57628094415659,20.952074616454823,165.80696964832666,6.392976135130142,94.81132075471696,41.39303482587064,6.061265109250747,,,98105,53033004500
35,71107,53033004600,1552358,1033232,Census Tract 46,Washington,King County,3490,519,602,169,17.2,4.10717699817656,512,133,14.7,3.12461872189521,1114,215,31.9,3.92671098188549,36.0,3.9,3089,496,0,13,7,12,161,67,0,13,0,13,105,52,128,71,88.5,5.36038096504065,0.0,0.372492836676218,0.2,0.342543369577168,4.6,1.79300982702898,0.0,0.372492836676218,0.0,0.372492836676218,3.0,1.42121032880957,3.7,1.95990851275012,284,87,8.1,2.1794038367444,137721.0,21844.0,1461,140,1363,155,98,68,1363,155,875,122,488,139,64.2,5.17894041316044,1876,174,954900.0,52700.0,5699197.3828125,11547.461496184,White (Non-Hispanic),719ed9,11.48997134670487,9.098113266511806,383.5960157636131,3.808694407556948,93.29226557152636,35.803374908290536,3.5532173015059003,,,98103,53033004600
36,71109,53033004800,1278329,26886,Census Tract 48,Washington,King County,5039,605,775,198,15.4,3.46842016075507,435,149,8.6,2.76933275698946,1210,248,24.0,3.98877015687167,34.8,3.5,3747,557,59,69,34,40,760,259,0,18,0,18,276,151,163,135,74.4,6.51753678126262,1.2,1.3620840935207,0.7,0.789663713078521,15.1,4.81035523419405,0.0,0.357213732883509,0.0,0.357213732883509,5.5,2.92357721935626,3.2,2.65080283022896,679,355,13.5,6.8567698952564,128160.0,30667.0,2542,400,2340,419,202,139,2340,419,1258,199,1082,405,53.8,12.8448369974089,1823,148,872500.0,37092.0,2816293.5390625,8505.35597409853,White (Non-Hispanic),719ed9,25.640007938082952,15.95216060378292,315.881975185546,8.047309437351892,92.05350118017309,46.23931623931624,7.407830087884903,,,98107,53033004800
37,71111,53033005000,757380,0,Census Tract 50,Washington,King County,4357,544,553,170,12.7,3.5654582195515,322,113,7.4,2.42382660381761,875,204,20.1,3.95410697622853,31.3,1.1,3127,464,183,190,0,13,284,140,33,41,0,13,205,112,525,331,71.8,5.75454067797979,4.2,4.32915172253896,0.0,0.298370438375029,6.5,3.10844631305238,0.8,0.936250700084221,0.0,0.298370438375029,4.7,2.50254934086099,12.0,7.44651152162808,354,167,8.1,3.69623144987033,109891.0,33966.0,2575,340,2328,313,247,163,2328,313,492,131,1836,324,21.1,4.8570386924174,1695,142,920100.0,54609.0,1668600.21875,5230.56691618298,White (Non-Hispanic),719ed9,28.23043378471425,23.28045820116252,187.1526738156052,13.75882025889224,90.40776699029126,78.8659793814433,12.439042160272283,,,98103,53033005000
38,71112,53033005100,881731,0,Census Tract 51,Washington,King County,3831,439,758,159,19.8,3.47631491473398,371,92,9.7,2.12967980254512,1129,184,29.5,3.41522805199956,35.8,1.6,2868,390,92,110,6,10,234,102,8,13,0,13,224,104,399,184,74.9,5.48099042501976,2.4,2.85809556510982,0.2,0.26041074974932,6.1,2.56884192103121,0.2,0.33849221452445,0.0,0.339336987731663,5.8,2.63071208447816,10.4,4.65227827581317,479,167,12.5,4.11698739425727,145278.0,24584.0,1719,103,1604,132,115,72,1604,132,1015,119,589,86,63.3,5.28417979122467,1475,135,994700.0,61779.0,1942380.359375,6094.22795718217,White (Non-Hispanic),719ed9,25.137039937353173,17.583034909982874,217.8804751064293,7.8896468311826045,93.31006399069226,36.720698254364095,7.361834506816113,,,98103,53033005100
39,71117,53033005600,3022785,1546484,Census Tract 56,Washington,King County,7076,744,1762,335,24.9,3.94445664201369,1476,287,20.9,3.41183183908565,3238,441,45.8,3.96133069401845,46.4,1.8,5734,635,61,68,0,18,531,222,92,154,109,131,318,155,231,137,81.0,2.81728117861561,0.9,0.956710687017885,0.0,0.254381006218202,7.5,3.03652768192795,1.3,2.17207312845479,1.5,1.84422991912053,4.5,2.13893066505678,3.3,1.90545242100278,823,251,11.6,3.32973177898196,178297.0,20679.0,2861,248,2774,217,87,119,2774,217,2482,209,292,136,89.5,2.78855285912791,2320,517,1157000.0,66117.0,6654997.890625,13218.5718708349,White (Non-Hispanic),719ed9,18.96551724137931,9.473236119969451,746.9464405182395,3.830261240705569,96.95910520796924,10.526315789473683,3.71378702611578,,,98199,53033005600
40,71118,53033005700,5085640,2365806,Census Tract 57,Washington,King County,6597,723,1528,316,23.2,4.06213082409343,938,237,14.2,3.23698811562896,2466,395,37.4,4.36665973429929,39.6,4.8,4857,528,58,74,0,18,717,409,0,18,16,26,635,389,314,134,73.6,11.3650824328521,0.9,1.11757594264981,0.0,0.272851296043656,10.9,6.08428657256332,0.0,0.272851296043656,0.2,0.393221175095852,9.6,5.80148858567185,4.8,1.96310135414692,770,389,11.7,5.75619570701377,155802.0,30602.0,3206,492,2989,501,217,128,2989,501,2088,437,901,269,69.9,8.75522115254291,1648,146,890600.0,44076.0,11202968.0859375,20233.2655432543,White (Non-Hispanic),719ed9,26.3756252842201,5.249508777375571,1256.6890122046984,2.5511482704662845,93.23144104803494,30.14386082301773,2.378472295827737,,,98199,53033005700
41,71119,53033005801,1822365,260223,Census Tract 58.01,Washington,King County,6288,763,715,203,11.4,2.91866881984146,585,193,9.3,2.85419409533664,1300,280,20.7,3.67901444543738,35.1,2.8,4545,733,138,116,0,18,965,407,0,18,0,18,91,63,549,219,72.3,7.67878213486605,2.2,1.82546127077841,0.0,0.286259541984733,15.3,6.19898007959128,0.0,0.286259541984733,0.0,0.286259541984733,1.4,0.986398881627125,8.7,3.31778184873175,1272,421,20.2,6.22910264067031,124392.0,15384.0,3350,360,3153,374,197,147,3153,374,1005,166,2148,334,31.9,3.66381769390787,2073,211,691200.0,98960.0,4013929.984375,10280.4489318774,White (Non-Hispanic),719ed9,27.719465648854964,13.963521678725568,450.3161984974192,7.439217179346478,94.11940298507464,68.1255946717412,7.001746795964014,,,98199,53033005801
42,71122,53033006000,1340653,160754,Census Tract 60,Washington,King County,6180,711,715,199,11.6,2.93207903406408,666,159,10.8,2.25436638443987,1381,255,22.3,3.22739476224144,35.1,2.7,4467,494,155,158,115,162,657,309,0,18,12,19,398,173,376,387,72.3,11.5347503731551,2.5,2.54029852755305,1.9,2.61260232200969,10.6,4.84809793372622,0.0,0.29126213592233,0.2,0.306630671688944,6.4,2.69951889082202,6.1,6.22289208471154,832,315,13.5,4.85605707578306,106682.0,25471.0,3344,486,3076,470,268,144,3076,470,1221,197,1855,480,39.7,2.0568627304562,1736,199,1089400.0,50301.0,2951711.7890625,8315.48615395443,White (Non-Hispanic),719ed9,27.71844660194175,18.65476949697761,331.28257098010585,10.094101811956818,91.98564593301435,60.30559167750326,9.285124752864586,,,98109,53033006000
43,71123,53033006100,1227451,652743,Census Tract 61,Washington,King County,5658,673,608,200,10.7,3.29563170152004,677,159,12.0,2.42311861667166,1285,256,22.7,3.62960463917922,36.7,2.9,4392,655,102,79,0,18,529,247,0,18,22,36,342,139,271,205,77.6,6.98314577979749,1.8,1.37968897552722,0.0,0.31813361611877,9.3,4.22147126424018,0.0,0.31813361611877,0.4,0.634584058356413,6.0,2.34913575880435,4.8,3.57811651918703,668,214,11.8,3.51188608036007,128904.0,19195.0,3328,223,3065,259,263,148,3065,259,1409,241,1656,247,46.0,6.83636757548876,1662,131,966300.0,102132.0,2638590.21875,9718.45374292564,White (Non-Hispanic),719ed9,22.375397667020145,18.654197713748875,303.30974758725927,10.97228172346346,92.09735576923076,54.02936378466558,10.105181334860427,,,98102,53033006100
44,71124,53033006200,2437426,239356,Census Tract 62,Washington,King County,4266,479,719,161,16.9,3.26526300364736,720,147,16.9,2.87794733010301,1439,218,33.7,3.43053740217355,44.0,1.6,3290,447,103,118,0,13,440,237,0,13,0,13,291,104,142,95,77.1,5.89972899074148,2.4,2.75273985150684,0.0,0.304735114861697,10.3,5.43350708928654,0.0,0.304735114861697,0.0,0.304735114861697,6.8,2.31443746294718,3.3,2.19532241303136,398,104,9.3,2.20133860371249,215781.0,56753.0,1650,143,1632,147,18,20,1632,147,1483,149,149,51,90.9,4.04487838795874,3134,208,1159900.0,72002.0,5365357.109375,15678.3499312306,White (Non-Hispanic),719ed9,22.878574777308955,7.082836360143068,602.3010815279982,2.7394936695349417,98.9090909090909,9.129901960784313,2.709608284049106,,,98112,53033006200
45,71125,53033006300,2610569,3533560,Census Tract 63,Washington,King County,5724,739,1340,456,23.4,7.37086276768686,1016,192,17.7,2.44946534209252,2356,495,41.2,6.82246047824402,41.9,4.7,5044,788,74,60,0,18,170,88,0,18,40,61,271,167,125,106,88.1,7.75161426756767,1.3,1.03484433034663,0.0,0.314465408805031,3.0,1.48880256593605,0.0,0.314465408805031,0.7,1.06186245795408,4.7,2.85279191458612,2.2,1.83026382376232,621,343,10.8,5.82631365156798,139000.0,47610.0,2900,359,2648,378,252,163,2648,378,1604,340,1044,236,60.6,9.4917699995839,1797,179,1916700.0,314322.0,5745661.015625,12755.8551530081,White (Non-Hispanic),719ed9,11.87980433263452,8.873240340254238,645.0856485913685,4.495527076648723,91.3103448275862,39.42598187311178,4.104881275505455,,,98112,53033006300
46,71126,53033006400,903649,0,Census Tract 64,Washington,King County,3632,480,722,155,19.9,3.36312551006134,629,213,17.3,5.39947945200826,1351,263,37.2,5.31681706928574,39.2,5.6,2879,446,34,33,21,25,274,132,0,13,0,13,301,129,123,73,79.3,6.40683143741721,0.9,0.900128055448646,0.6,0.684071400151439,7.5,3.49493202514105,0.0,0.357929515418502,0.0,0.357929515418502,8.3,3.37867224441731,3.4,1.95944704677421,337,104,9.3,2.58758078827303,167167.0,27277.0,1466,234,1460,231,6,10,1460,231,1186,232,274,80,81.2,9.34429557165962,2255,440,1221600.0,353753.0,1988395.6875,5959.94956795687,White (Non-Hispanic),719ed9,20.732378854625548,16.265366891521513,223.2965308574267,6.565260975487483,99.59072305593452,18.767123287671232,6.538390875997084,,,98112,53033006400
47,71127,53033006500,1147619,0,Census Tract 65,Washington,King County,4815,649,410,139,8.5,2.64885304645537,597,157,12.4,2.7998060971303,1007,210,20.9,3.32795541537342,37.8,2.9,3405,490,20,29,16,24,560,275,0,13,38,48,430,175,346,209,70.7,3.5649637832461,0.4,0.599676730710023,0.3,0.496425958780351,11.6,5.49197025925901,0.0,0.269989615784008,0.8,0.991193087109974,8.9,3.42935909021753,7.2,4.2311597047202,603,293,12.5,5.8463452730494,121546.0,36949.0,2876,332,2665,352,211,144,2665,352,1099,217,1566,358,41.2,6.05256246878284,1769,75,1068300.0,110991.0,2525454.546875,8105.94590484081,White (Non-Hispanic),719ed9,29.28348909657321,16.979166146478608,283.58283077397215,10.14165770244496,92.663421418637,58.76172607879925,9.39760701565223,,,98102,53033006500
48,71128,53033006600,1117109,831139,Census Tract 66,Washington,King County,4334,493,242,104,5.6,2.31404351781418,207,101,4.8,2.26619494185367,449,145,10.4,3.13121851581281,30.3,0.7,3171,505,91,67,88,118,445,258,0,13,0,13,401,215,138,107,73.2,8.15491649628321,2.1,1.52735420613326,2.0,2.71284364888781,10.3,5.83722893242788,0.0,0.299953853253346,0.0,0.299953853253346,9.3,4.84784271506918,3.2,2.44213765116153,788,340,18.2,7.56740947581656,132326.0,15057.0,2486,209,2351,208,135,115,2351,208,469,130,1882,231,19.9,5.24032704233667,1898,109,915700.0,196217.0,2442363.0546875,10979.6125939931,White (Non-Hispanic),719ed9,26.834333179510843,15.700415746969428,276.0436455854088,9.005822230495154,94.56958970233306,80.05104210974054,8.516769132700768,,,98102,53033006600
49,71130,53033006800,718106,0,Census Tract 68,Washington,King County,3307,374,674,146,20.4,3.76540966941572,427,139,12.9,3.94139149154216,1101,202,33.3,4.80977013470809,39.4,2.2,2521,348,101,134,0,13,367,169,0,13,26,42,170,100,122,60,76.2,6.03393565521827,3.1,4.03726266454014,0.0,0.393105533716359,11.1,4.95385617578692,0.0,0.393105533716359,0.8,1.26691694902161,5.1,2.96747580821149,3.7,1.76571068248066,522,187,15.8,5.36549797544247,148164.0,42160.0,1592,189,1537,186,55,55,1537,186,631,114,906,167,41.1,5.5072747107919,1969,202,1358300.0,157413.0,1580574.4375,5098.73689164573,White (Non-Hispanic),719ed9,23.767765346235254,18.63646061845542,177.44785706386358,8.971649623399163,96.54522613065326,58.94599869876382,8.661699416560623,,,98109,53033006800
50,71131,53033006900,905121,0,Census Tract 69,Washington,King County,4898,679,958,320,19.6,5.94406454019069,632,165,12.9,2.85458685337727,1590,360,32.5,5.81119873421808,37.1,2.9,3814,682,40,40,0,13,361,177,0,13,42,60,300,182,341,170,77.9,8.79502079024837,0.8,0.808774620748067,0.0,0.265414454879543,7.4,3.46626939257938,0.0,0.265414454879543,0.9,1.21920847753682,6.1,3.61749005127361,7.0,3.33391721632292,661,214,13.5,3.94832937404014,150139.0,38347.0,2248,175,2142,191,106,96,2142,191,1239,204,903,161,57.8,8.00624098740831,1961,234,1125700.0,179660.0,1992077.6015625,7086.70461247725,White (Non-Hispanic),719ed9,22.13148223764802,21.899285020361727,223.6602699789464,10.050958090194603,95.2846975088968,42.15686274509804,9.577025012987916,,,98119,53033006900
51,71139,53033007600,571882,0,Census Tract 76,Washington,King County,4723,660,571,321,12.1,6.58320303360133,427,146,9.0,2.82129717911071,998,353,21.1,6.86603295062199,33.0,2.4,3483,675,97,68,0,13,523,215,0,13,2,3,243,147,375,240,73.7,9.90226598345357,2.1,1.41086813838803,0.0,0.275248782553462,11.1,4.2811121306917,0.0,0.275248782553462,0.0,0.0632427088012704,5.1,3.02824786224705,7.9,4.95890576655412,550,163,11.6,3.04345404248853,120103.0,23349.0,2259,185,2219,191,40,63,2219,191,862,206,1357,175,38.8,8.66039170703834,1586,141,841000.0,139646.0,1258048.34375,4478.65699077956,White (Non-Hispanic),719ed9,26.254499258945582,33.42175987877716,141.3151197642081,15.985550617437562,98.22930500221338,61.15367282559711,15.702495272285946,,,98112,53033007600
52,71140,53033007700,1058322,0,Census Tract 77,Washington,King County,5759,652,828,234,14.4,3.72291769153659,607,196,10.5,3.18731900895733,1435,305,24.9,4.48219928017283,34.9,2.1,3372,529,677,265,13,21,420,150,0,18,55,69,757,284,465,226,58.6,6.35872937382915,11.8,4.4048238306364,0.2,0.36374998445771,7.3,2.47028749309708,0.0,0.312554262892863,1.0,1.19323604446058,13.1,4.70151085854214,8.1,3.81633899437542,885,248,15.4,3.93921051720248,126815.0,20294.0,2596,228,2537,201,59,98,2537,201,1465,229,1072,231,57.7,7.78108463358791,1771,281,895100.0,39475.0,2327908.15625,6893.67074376381,White (Non-Hispanic),719ed9,41.448168084736935,22.0215077609661,261.51706152509826,9.926694590635178,97.72727272727272,42.25463145447379,9.701087895393467,,,98112,53033007700
53,71141,53033007800,2097740,3632914,Census Tract 78,Washington,King County,5898,627,1034,246,17.5,3.73135813079335,1049,228,17.8,3.3717716407308,2083,335,35.3,4.26206650492692,40.6,3.8,4541,612,348,165,0,18,279,140,0,18,0,18,467,176,263,139,77.0,6.37795092412688,5.9,2.72633401597025,0.0,0.305188199389624,4.7,2.31980590147338,0.0,0.305188199389624,0.0,0.305188199389624,7.9,2.86288529207449,4.5,2.30856423205813,616,227,10.4,3.68513423201523,169159.0,21695.0,2279,152,2231,145,48,77,2231,145,1765,212,466,156,79.1,7.99117855275681,2381,284,1142900.0,132692.0,4613213.515625,12763.7125835401,White (Non-Hispanic),719ed9,23.0077992539844,11.378130359012438,518.3628429189412,4.396534263850347,97.89381307591049,20.88749439713133,4.303935034072016,,,98122,53033007800
54,71144,53033008002,234314,0,Census Tract 80.02,Washington,King County,4018,533,88,58,2.2,1.41396504909953,541,153,13.5,3.36298925530237,629,164,15.7,3.51388040207395,36.7,3.6,2103,333,490,266,18,28,1054,414,0,13,31,46,173,114,149,89,52.3,4.52558640455463,12.2,6.41951315538107,0.4,0.694325633925359,26.2,9.69825815457629,0.0,0.323544051767048,0.8,1.14026433222967,4.3,2.77914928864182,3.7,2.15971850279168,1307,463,32.5,10.6847312717583,102365.0,22504.0,3395,418,2744,415,651,206,2744,415,519,109,2225,396,18.9,2.75618091583283,1863,317,1042200.0,135608.0,515263.7734375,3615.14237179905,White (Non-Hispanic),719ed9,47.660527625684416,69.39520944204313,57.90025035309847,58.63532505120369,80.82474226804123,81.08600583090379,47.3918503506636,,,98121,53033008002
